file_id,type,number_affix,date,area,param,step,request_time
cf_2017-10-01_tem.grib,cf,#,2017-10-01/to/2017-10-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2017-10-01_nontem.grib,pf,,2017-10-01/to/2017-10-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2017-11-01_tem.grib,cf,#,2017-11-01/to/2017-11-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2017-11-01_nontem.grib,pf,,2017-11-01/to/2017-11-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2017-11-01_tem.grib,cf,#,2017-11-01/to/2017-11-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2017-11-01_nontem.grib,pf,,2017-11-01/to/2017-11-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2017-12-01_tem.grib,cf,#,2017-12-01/to/2017-12-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2017-12-01_nontem.grib,pf,,2017-12-01/to/2017-12-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2017-12-01_tem.grib,cf,#,2017-12-01/to/2017-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2017-12-01_nontem.grib,pf,,2017-12-01/to/2017-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-01-01_tem.grib,cf,#,2018-01-01/to/2018-01-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-01-01_nontem.grib,pf,,2018-01-01/to/2018-01-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-01-01_tem.grib,cf,#,2018-01-01/to/2018-01-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-01-01_nontem.grib,pf,,2018-01-01/to/2018-01-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-02-01_tem.grib,cf,#,2018-02-01/to/2018-02-28,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-02-01_nontem.grib,pf,,2018-02-01/to/2018-02-28,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-02-01_tem.grib,cf,#,2018-02-01/to/2018-02-28,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-02-01_nontem.grib,pf,,2018-02-01/to/2018-02-28,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
